selection1_name,selection1_url
Mamata Thakur,https://india.gov.in/my-government/indian-parliament/mamata-thakur
Pratyusha Rajeshwari Singh,https://india.gov.in/my-government/indian-parliament/pratyusha-rajeshwari-singh
Pritam Gopinath Munde,https://india.gov.in/my-government/indian-parliament/pritam-gopinath-munde
Ranjanben Bhatt,https://india.gov.in/my-government/indian-parliament/ranjanben-bhatt
Kotha Prabhakar Reddy,https://india.gov.in/my-government/indian-parliament/kotha-prabhakar-reddy
Tejpratap Singh Yadav,https://india.gov.in/my-government/indian-parliament/tejpratap-singh-yadav
Prakash Babanna Hukkeri,https://india.gov.in/my-government/indian-parliament/prakash-babanna-hukkeri
Nitin Jairam Gadkari,https://india.gov.in/my-government/indian-parliament/nitin-jairam-gadkari
Gajanan Chandrakant Kirtikar,https://india.gov.in/my-government/indian-parliament/gajanan-chandrakant-kirtikar
Sanjeev Kumar Balyan,https://india.gov.in/my-government/indian-parliament/sanjeev-kumar-balyan
Vara Prasadarao Velagapalli,https://india.gov.in/my-government/indian-parliament/vara-prasadarao-velagapalli
Ranjit Singh Brahmpura,https://india.gov.in/my-government/indian-parliament/ranjit-singh-brahmpura
Rekha Arun Verma,https://india.gov.in/my-government/indian-parliament/rekha-arun-verma
Mahendra Nath Pandey,https://india.gov.in/my-government/indian-parliament/mahendra-nath-pandey
T.G. Venkatesh Babu,https://india.gov.in/my-government/indian-parliament/tg-venkatesh-babu
Vikram Usendi,https://india.gov.in/my-government/indian-parliament/vikram-usendi
Liladharbhai Khodaji Vaghela,https://india.gov.in/my-government/indian-parliament/liladharbhai-khodaji-vaghela
R. Vanaroja,https://india.gov.in/my-government/indian-parliament/r-vanaroja
Dev (Moon Moon Sen) Varma,https://india.gov.in/my-government/indian-parliament/dev-moon-moon-sen-varma
Ramdas Chandrabhanji Tadas,https://india.gov.in/my-government/indian-parliament/ramdas-chandrabhanji-tadas
Manhor Untwal,https://india.gov.in/my-government/indian-parliament/manhor-untwal
M. Udhayakumar,https://india.gov.in/my-government/indian-parliament/m-udhayakumar
Dasrath Tirkey,https://india.gov.in/my-government/indian-parliament/dasrath-tirkey
P.K.Sreemathi Teacher,https://india.gov.in/my-government/indian-parliament/pksreemathi-teacher
P.R. Sundaram,https://india.gov.in/my-government/indian-parliament/pr-sundaram
Renuka Sinha,https://india.gov.in/my-government/indian-parliament/renuka-sinha
Rahul Shewale,https://india.gov.in/my-government/indian-parliament/rahul-shewale
Balasubramaniam Senguttuvan,https://india.gov.in/my-government/indian-parliament/balasubramaniam-senguttuvan
V. Sathyabama,https://india.gov.in/my-government/indian-parliament/v-sathyabama
Uma Saren,https://india.gov.in/my-government/indian-parliament/uma-saren
Mamtaz Sanghamita,https://india.gov.in/my-government/indian-parliament/mamtaz-sanghamita
Sandhya Roy,https://india.gov.in/my-government/indian-parliament/sandhya-roy
Neiphiu Rio,https://india.gov.in/my-government/indian-parliament/neiphiu-rio
Nanabhau Falgunrao Patole,https://india.gov.in/my-government/indian-parliament/nanabhau-falgunrao-patole
R. Radhakrishnan,https://india.gov.in/my-government/indian-parliament/r-radhakrishnan
Anwhar Raajhaa,https://india.gov.in/my-government/indian-parliament/anwhar-raajhaa
T. Radhakrishnan,https://india.gov.in/my-government/indian-parliament/t-radhakrishnan
Hari Narayan Rajbhar,https://india.gov.in/my-government/indian-parliament/hari-narayan-rajbhar
S. Rajendran,https://india.gov.in/my-government/indian-parliament/s-rajendran
Krishnan Narayanasamy Ramachandran,https://india.gov.in/my-government/indian-parliament/krishnan-narayanasamy-ramachandran
Dilip Patel,https://india.gov.in/my-government/indian-parliament/dilip-patel
Innocent,https://india.gov.in/my-government/indian-parliament/innocent
Parasuraman K.,https://india.gov.in/my-government/indian-parliament/parasuraman-k
Nagarajan P.,https://india.gov.in/my-government/indian-parliament/nagarajan-p
Ravindra Babu Pandula,https://india.gov.in/my-government/indian-parliament/ravindra-babu-pandula
Banshilal Mahto,https://india.gov.in/my-government/indian-parliament/banshilal-mahto
Mriganka Mahato,https://india.gov.in/my-government/indian-parliament/mriganka-mahato
Manshankar Ninama,https://india.gov.in/my-government/indian-parliament/manshankar-ninama
Ravindra Kushawaha,https://india.gov.in/my-government/indian-parliament/ravindra-kushawaha
J. Jayasingh Thiyagaraj Natterjee,https://india.gov.in/my-government/indian-parliament/j-jayasingh-thiyagaraj-natterjee
Khan Saumitra,https://india.gov.in/my-government/indian-parliament/khan-saumitra
Azmeera Seetaram Naik,https://india.gov.in/my-government/indian-parliament/azmeera-seetaram-naik
Jayakumar Jayavardhan,https://india.gov.in/my-government/indian-parliament/jayakumar-jayavardhan
Pratima Mondal,https://india.gov.in/my-government/indian-parliament/pratima-mondal
Anupam Hazra,https://india.gov.in/my-government/indian-parliament/anupam-hazra
G. Hari,https://india.gov.in/my-government/indian-parliament/g-hari
Sunil Kumar Mondal,https://india.gov.in/my-government/indian-parliament/sunil-kumar-mondal
R.P. Marutharajaa,https://india.gov.in/my-government/indian-parliament/rp-marutharajaa
Vijay Kumar Hansdak,https://india.gov.in/my-government/indian-parliament/vijay-kumar-hansdak
Rajeshbhai Naranbhai Chudasama,https://india.gov.in/my-government/indian-parliament/rajeshbhai-naranbhai-chudasama
Arpita Ghosh,https://india.gov.in/my-government/indian-parliament/arpita-ghosh
Devajibhai Govindbhai Fatepara,https://india.gov.in/my-government/indian-parliament/devajibhai-govindbhai-fatepara
Satish Chandra Dubey,https://india.gov.in/my-government/indian-parliament/satish-chandra-dubey
S. Selvakumarachinnayan,https://india.gov.in/my-government/indian-parliament/s-selvakumarachinnayan
Gopalakrishnan Chinnaraj,https://india.gov.in/my-government/indian-parliament/gopalakrishnan-chinnaraj
Chhotelal,https://india.gov.in/my-government/indian-parliament/chhotelal
Devusinh Jesingbhai Chauhan,https://india.gov.in/my-government/indian-parliament/devusinh-jesingbhai-chauhan
Jaswantsinh Sumanbhai Bhabhor,https://india.gov.in/my-government/indian-parliament/jaswantsinh-sumanbhai-bhabhor
M. Chandrakasi,https://india.gov.in/my-government/indian-parliament/m-chandrakasi
Ramesh Bidhuri,https://india.gov.in/my-government/indian-parliament/ramesh-bidhuri
Bijoy Chandra Barman,https://india.gov.in/my-government/indian-parliament/bijoy-chandra-barman
R.K. Bharathimohan,https://india.gov.in/my-government/indian-parliament/rk-bharathimohan
Sugata Bose,https://india.gov.in/my-government/indian-parliament/sugata-bose
K. Ashok Kumar,https://india.gov.in/my-government/indian-parliament/k-ashok-kumar
A. Arunmozhithevan,https://india.gov.in/my-government/indian-parliament/arunmozhithevan
Idris Ali,https://india.gov.in/my-government/indian-parliament/idris-ali
Deepak (Dev) Adhikari,https://india.gov.in/my-government/indian-parliament/deepak-dev-adhikari
B.N. Chandrappa,https://india.gov.in/my-government/indian-parliament/bn-chandrappa
Tapas Mandal,https://india.gov.in/my-government/indian-parliament/tapas-mandal
Aparupa Poddar,https://india.gov.in/my-government/indian-parliament/aparupa-poddar
Abhishek Banerjee,https://india.gov.in/my-government/indian-parliament/abhishek-banerjee
C. Mahendran,https://india.gov.in/my-government/indian-parliament/c-mahendran
Elumalai Vellaigounder,https://india.gov.in/my-government/indian-parliament/elumalai-vellaigounder
K.R.P. Prabakaran,https://india.gov.in/my-government/indian-parliament/krp-prabakaran
Vasanthi M.,https://india.gov.in/my-government/indian-parliament/vasanthi-m
PR. Senthilnathan,https://india.gov.in/my-government/indian-parliament/pr-senthilnathan
R. Parthipan,https://india.gov.in/my-government/indian-parliament/r-parthipan
K. Kamaraj,https://india.gov.in/my-government/indian-parliament/k-kamaraj
K. Maragatham,https://india.gov.in/my-government/indian-parliament/k-maragatham
V. Panneer Selvam,https://india.gov.in/my-government/indian-parliament/v-panneer-selvam
Rita Tarai,https://india.gov.in/my-government/indian-parliament/rita-tarai
R. Gopalakrishnan,https://india.gov.in/my-government/indian-parliament/r-gopalakrishnan
Vijay Kumar S.R.,https://india.gov.in/my-government/indian-parliament/vijay-kumar-sr
K. Gopal,https://india.gov.in/my-government/indian-parliament/k-gopal
C. N. Jayadevan,https://india.gov.in/my-government/indian-parliament/c-n-jayadevan
Jitendra Chaudhury,https://india.gov.in/my-government/indian-parliament/jitendra-chaudhury
Rama Chandra Hansdah,https://india.gov.in/my-government/indian-parliament/rama-chandra-hansdah
Md. Badaruddoza Khan,https://india.gov.in/my-government/indian-parliament/md-badaruddoza-khan
Sankar Prasad Datta,https://india.gov.in/my-government/indian-parliament/sankar-prasad-datta
C.S. Puttaraju,https://india.gov.in/my-government/indian-parliament/cs-puttaraju
Kulamani Samal,https://india.gov.in/my-government/indian-parliament/kulamani-samal
Tariq Hameed Karra,https://india.gov.in/my-government/indian-parliament/tariq-hameed-karra
K. C. Patel,https://india.gov.in/my-government/indian-parliament/k-c-patel
Sirajuddin Ajmal,https://india.gov.in/my-government/indian-parliament/sirajuddin-ajmal
Y. S. Avinash Reddy,https://india.gov.in/my-government/indian-parliament/y-s-avinash-reddy
Ladu Kishore Swain,https://india.gov.in/my-government/indian-parliament/ladu-kishore-swain
